date;home_team;away_team;home_goals;away_goals;home_xG;away_xG;home_xpts;away_xpts;year;match_index
29.12.2018 15:00;Fulham;Everton;1;0;1.72386;0.655851;2.5821;0.5871;2018;2018-12-29_Fulham_vs_Everton
28.09.2019 14:00;Aston Villa;West Ham;2;2;0.914266;1.29546;0.7663;0.7235;2019;2019-09-28_Aston Villa_vs_West Ham
19.10.2019 15:00;Aston Villa;Burnley;2;1;2.96692;1.79569;2.4098;2.1661;2019;2019-10-19_Aston Villa_vs_Burnley
23.11.2019 15:00;Everton;Leicester;0;2;0.812693;3.50917;0.638;2.8392;2019;2019-11-23_Everton_vs_Leicester
26.12.2019 15:00;Everton;Norwich;1;0;1.47521;1.45005;2.1380000000000003;2.0065;2019;2019-12-26_Everton_vs_Norwich
23.11.2019 15:00;Bournemouth;Liverpool;1;2;0.849789;1.64291;0.9449;1.8781;2019;2019-11-23_Bournemouth_vs_Liverpool
17.08.2019 15:00;Southampton;Bournemouth;1;2;2.14047;1.62777;1.8259;1.3578;2019;2019-08-17_Southampton_vs_Bournemouth
04.12.2019 19:30;Southampton;Aston Villa;2;1;2.00232;0.86086;2.2681;0.6134;2019;2019-12-04_Southampton_vs_Aston Villa
04.12.2019 19:30;Leicester;West Ham;2;0;2.28735;0.501977;2.8303000000000003;0.4048;2019;2019-12-04_Leicester_vs_West Ham
07.03.2020 15:00;Crystal Palace;Norwich;1;0;0.856107;2.55449;1.7397;2.4715;2019;2020-03-07_Crystal Palace_vs_Norwich
26.07.2020 15:00;Crystal Palace;Aston Villa;1;1;0.988534;0.983594;2.0478;1.4911;2019;2020-07-26_Crystal Palace_vs_Aston Villa
28.09.2019 14:00;Chelsea;Norwich;2;0;4.26443;0.712129;2.9361;0.5259;2019;2019-09-28_Chelsea_vs_Norwich
18.01.2020 15:00;West Ham;Aston Villa;1;1;1.68436;1.02045;1.1683;1.0922;2019;2020-01-18_West Ham_vs_Aston Villa
